Gene.id	genename	Control_rep1	Control_rep2	si91_rep1	si91_rep2	Control_rep1.1	Control_rep2.1	si91_rep1.1	si91_rep2.1	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	chromosome	strand	start	end	length	type
ENSG00000137801	THBS1	191369.520719668	200161.983786679	42977.2216208318	42888.7117129586	17.5728735223257	17.636515616056	15.5056149430607	15.5028633606396	119349.359460034	-2.18897557045513	0.0581914005117391	-37.6168222659213	0	0	chr15	+	39581078	39599466	18388	protein_coding
ENSG00000125730	C3	105.829847077932	74.9450834786746	3066.3135074312	3237.96794885767	11.1679029371723	11.1129192378031	12.5863292000464	12.6296254265913	1621.26409671137	5.13358355305332	0.154652017601944	33.1944169410486	1.29598475505945e-241	1.13742102027792e-237	chr19	-	6677703	6720650	42947	protein_coding
ENSG00000148677	ANKRD1	17256.7444520955	18322.1512417288	3644.93276304021	3329.27946579314	14.3382977608342	14.4111717188882	12.7265678241416	12.6520474764566	10638.2769806644	-2.3506211890103	0.0741793141068664	-31.6883651097647	2.24733363297848e-220	1.31491490865571e-216	chr10	-	90912095	90921087	8992	protein_coding
ENSG00000118523	CCN2	23767.4398401858	24344.6612833228	6053.38934610065	5837.78125126748	14.7346183884516	14.7649748218982	13.1857226046392	13.1505750030252	15000.8179302192	-2.01641901229719	0.06435312599453	-31.3336606596017	1.62441796603324e-215	7.12835213944538e-212	chr6	-	131948175	131951372	3197	protein_coding
ENSG00000131389	SLC6A6	6937.25446559833	6703.74163372708	26328.0974984514	27333.9486988169	13.3208979361508	13.2864814139594	14.8646339700341	14.9126411503017	16825.7605741484	1.97603139233744	0.0642555613032812	30.7526905416129	1.12558514519094e-207	3.95147921070732e-204	chr3	+	14402575	14489349	86774	protein_coding
ENSG00000244731	C4A	147.945806629354	138.360154114476	2553.11139696269	2652.13787953013	11.2310151489066	11.2175518449898	12.446737090619	12.4749810322605	1372.88880930916	4.18584683348812	0.138008511982281	30.3303526236522	4.56317770640756e-202	1.33495763800953e-198	chr6	+	31982056	32002681	20625	protein_coding
ENSG00000198959	TGM2	25845.1605113893	22437.4049922309	5038.96291230205	5196.54868851842	14.8409998203788	14.6621156858854	13.0115890130029	13.0401905038447	14629.5192761102	-2.23790666077994	0.0779751710422277	-28.7002468974129	3.7882660291902e-181	9.49934765862509e-178	chr20	-	38127384	38165270	37886	protein_coding
ENSG00000134333	LDHA	44566.2444801957	48307.8713084272	12778.4561401933	12334.2365909908	15.5541392808549	15.6623216849281	13.9829373002173	13.9422745791431	29496.7021299517	-1.8868457239301	0.0659227611229886	-28.6220675801172	3.57067311450025e-180	7.83450314735285e-177	chr11	+	18394562	18408425	13863	protein_coding
ENSG00000112984	KIF20A	3832.5523191794	5022.28142747477	368.547296566249	357.038290938679	12.7688416142984	13.0085245476331	11.4657113183386	11.4557063358659	2395.10483353977	-3.60927155652353	0.130421976253307	-27.6737990038853	1.4436014720427e-168	2.81550407097394e-165	chr5	+	138179111	138187723	8612	protein_coding
ENSG00000064601	CTSA	8385.39553632799	7535.82422722109	29603.561596684	30089.7097604873	13.5168540660567	13.405328393454	15.0153970786248	15.0364812866151	18903.6227801801	1.90684749953099	0.0701211490324532	27.1936145633961	7.72848126188646e-163	1.35658031589893e-159	chr20	+	45890143	45898820	8677	protein_coding
ENSG00000168874	ATOH8	3866.02910754079	3698.25161935152	13801.1748881646	14289.7394143503	12.7762374467006	12.7387269096947	14.0723173944066	14.1130954969437	8913.79875735182	1.89299328970749	0.0698392620073044	27.1050013316221	8.59663049055715e-162	1.37178777273409e-158	chr2	+	85753990	85791383	37393	protein_coding
ENSG00000234745	HLA-B	7595.99126883852	7556.00174969611	23681.0065408644	24514.5773669218	13.41353273042	13.4080852853333	14.7300168299284	14.7737894502805	15836.8942315802	1.66937974178647	0.0633014878603303	26.3718879004839	2.87991516244639e-153	4.21259590386846e-150	chr6	-	31353874	31357179	3305	protein_coding
