Gene.id	genename	Ctrl_d3_rep1	Ctrl_d3_rep2	R_si621_rep1	R_si621_rep2	Ctrl_d3_rep1.1	Ctrl_d3_rep2.1	R_si621_rep1.1	R_si621_rep2.1	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	chromosome	strand	start	end	length	type
ENSG00000137809	ITGA11	14875.5447283999	15626.7937450221	1466.11709987566	1184.90190786757	13.9252364234281	13.9933073430964	11.0349781998654	10.820157684614	8288.3393702913	-3.52561041141648	0.104115642624411	-33.8624468192051	2.38032696708859e-251	4.33290917819136e-247	chr15	-	68296531	68432163	135632	protein_coding
ENSG00000091986	CCDC80	6821.93015101444	6663.92852145444	54108.5613156149	66068.0020614793	12.8716662054183	12.8408595509246	15.7417578054627	16.0265855321616	33415.6055123908	3.15568948683251	0.0975931814666312	32.3351430848834	2.24419520879718e-229	2.04255426928675e-225	chr3	-	112596796	112641143	44347	protein_coding
ENSG00000120885	CLU	1002.88855769525	1004.46660952425	7334.02978387294	7436.84548046759	10.660239269657	10.6617119946571	12.9672030862342	12.9856418615437	4194.55760789001	2.87940109481118	0.0920564887787648	31.2786326418675	9.11224342055789e-215	5.52900556614717e-211	chr8	-	27596916	27614700	17784	protein_coding
ENSG00000124762	CDKN1A	6958.25435610039	6933.719640548	37391.1524735714	35697.4722450568	12.8977255112837	12.8930702753781	15.2166202854635	15.1509713531964	21745.1496788191	2.39537968472978	0.0772186286617769	31.020748830204	2.8307493737846e-211	1.28820327127503e-207	chr6	+	36676459	36687337	10878	protein_coding
ENSG00000185585	OLFML2A	3851.39712270799	3651.4074913152	353.613208114099	367.340056066024	12.1401197607201	12.0743297806667	9.83337247438864	9.85839515685815	2055.93946955083	-3.37877485548378	0.116333838883802	-29.0437837167791	1.84370677672285e-185	6.71219889133722e-182	chr9	+	124777132	124814882	37750	protein_coding
ENSG00000138356	AOX1	523.370549595714	565.946191193018	4658.96882638641	4269.9444400098	10.1094322577796	10.1694815210844	12.3786613426999	12.2687072367296	2504.55750179624	3.03429726676921	0.109908597986598	27.6074604021353	9.05371832524154e-168	2.74674724457286e-164	chr2	+	200586013	200671495	85482	protein_coding
ENSG00000118785	SPP1	534.8103430295	574.734175528313	4151.51091084605	4639.33095878372	10.1258657763457	10.1815110132543	12.2334811961568	12.3733088996503	2475.09659704689	2.98572902242501	0.111891181109143	26.6842211587044	7.17617777407672e-157	1.86611377173598e-153	chr4	+	87975666	87983426	7760	protein_coding
ENSG00000135046	ANXA1	4968.6836147411	5193.69874215953	21340.7867286522	20920.9882627463	12.4605315666183	12.5172070485911	14.4267921985788	14.3990206724371	13106.0393370748	2.05602484457539	0.0794472085329997	25.8791326031472	1.14401111839992e-147	2.60305429852921e-144	chr9	+	73151864	73170393	18529	protein_coding
ENSG00000275993	SIK1B	6590.27433398028	6090.95194279318	1125.1329349085	1053.92829456269	12.8262697399785	12.72324836001	10.7697319192841	10.7070589345099	3715.07187656116	-2.54136253343034	0.0991716491873327	-25.6258976658719	7.85076540418361e-145	1.58786091835949e-141	chr21	+	6111130	6123778	12648	protein_coding
ENSG00000130449	ZSWIM6	1251.7040648801	1277.77292235194	6406.3691599892	6352.22024528657	10.8743616852802	10.8949365051994	12.789180333679	12.7780746636735	3822.01659812695	2.33444164595806	0.0921853641918404	25.3233435309754	1.76749441295746e-141	3.21737007990647e-138	chr5	+	61332257	61546172	213915	protein_coding
ENSG00000143387	CTSK	2459.55558826401	2507.21193085975	12428.1265514127	15230.7987034618	11.602736763923	11.6249417639959	13.6781300713975	13.9578270766873	8156.42319349957	2.47745808032334	0.103827347867858	23.8613248936727	7.72537123215626e-126	1.27840847762673e-122	chr1	-	150796227	150809189	12962	protein_coding
ENSG00000250644	AC068580.4	3698.86654359084	3678.65024275462	545.34504498116	441.012713550018	12.0902193163757	12.0834724498112	10.1408013563482	9.98381032305282	2090.96863621916	-2.90533457553517	0.121799599316318	-23.8534001084018	9.33625650097762e-126	1.4162323090608e-122	chr11	-	1734820	1763954	29134	protein_coding
ENSG00000169184	MN1	3957.21521197051	3743.6813268358	639.488821167381	571.986326854896	12.1737399461265	12.1050625970817	10.2666633549971	10.1777624586342	2228.09292170715	-2.66940583423478	0.112049847776173	-23.8233776057162	1.91221717601918e-125	2.67754532731363e-122	chr22	-	27748276	27801756	53480	protein_coding
ENSG00000003436	TFPI	1883.75265209678	2068.69151252852	11299.5493320096	14682.3466977476	11.3023270697489	11.4060182075719	13.5481353574431	13.9071983129941	7483.58504859563	2.71664306636925	0.117048683743639	23.2095140199889	3.64973317831754e-119	4.74543521749388e-116	chr2	-	187464229	187554435	90206	protein_coding
ENSG00000065534	MYLK	38565.4502975319	38477.310613657	11456.8383239305	10854.4382026417	15.2604446062851	15.2572010901904	13.5669715825672	13.4934558183144	24838.5093594403	-1.78796117127626	0.0770566648781396	-23.2031995428794	4.22686748610724e-119	5.129444589974e-116	chr3	-	123610048	123884332	274284	protein_coding
ENSG00000035862	TIMP2	26182.8272215779	26820.9281913213	7536.09447422385	6962.06613223741	14.7135509079024	14.7474201637518	13.0032194160455	12.8984474088732	16875.4790048401	-1.87038491037236	0.0812332824676856	-23.0248594363571	2.62777256110294e-117	2.9895839956098e-114	chr17	-	78852976	78925387	72411	protein_coding
ENSG00000185070	FLRT2	579.616200645162	555.400609990664	3642.90490047415	4481.75333027629	10.1881424493246	10.1548858855093	12.0714642535264	12.329619021901	2314.91876034656	2.84018536895004	0.123968849817212	22.910476084418	3.65330332550586e-116	3.91182826083431e-113	chr14	+	85530143	85654428	124285	protein_coding
ENSG00000115380	EFEMP1	7690.4011358627	8248.40209710818	1515.48517763185	1197.1806841149	13.0301281972425	13.1234365203799	11.0694241530857	10.8302861250369	4662.86727367941	-2.5560020219634	0.113144309901813	-22.5906368970874	5.35698298839734e-113	5.41739785209982e-110	chr2	-	55865966	55924139	58173	protein_coding
ENSG00000104332	SFRP1	42662.8029790663	41748.1983832539	9029.76585005646	7007.08831181096	15.403701601852	15.3729348024965	13.244690570554	12.906946657519	25111.9638810469	-2.39629489445777	0.106429755159164	-22.5152720766307	2.94127713702833e-112	2.81789830133298e-109	chr8	-	41261961	41309473	47512	protein_coding
ENSG00000168209	DDIT4	2940.02691248303	3132.03761709925	518.938863855756	497.290438016958	11.8120575217689	11.8877527828029	10.1030044630736	10.0710928950518	1772.07345786375	-2.5795740539772	0.115957088634224	-22.2459367026213	1.23486783236e-109	1.12391495762245e-106	chr10	+	72273923	72276036	2113	protein_coding
ENSG00000112715	VEGFA	12408.36261118	12716.2133331723	2546.47433635413	3075.83344995674	13.675951615743	13.7095157260858	11.6429763363976	11.8660109191177	7686.72093266579	-2.15927011940963	0.100147192511017	-21.5609650682129	4.17803781806128e-103	3.62156297153188e-100	chr6	+	43770212	43786487	16275	protein_coding
