Gene.id	genename	Control_rep1	Control_rep2	si7_si621_rep1	si7_si621_rep2	Control_rep1.1	Control_rep2.1	si7_si621_rep1.1	si7_si621_rep2.1	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	chromosome	strand	start	end	length	type
ENSG00000091986	CCDC80	13293.8658510497	12951.4927837219	67650.8955354679	71830.6974303288	13.8067869645905	13.7718512825628	16.0680808915823	16.1532910863448	41431.7379001421	2.40998661260614	0.0637713805711403	37.7910371552593	0	0	chr3	-	112596796	112641143	44347	protein_coding
ENSG00000113361	CDH6	14732.9233462299	14034.7469741189	1844.74133818919	1707.46813501829	13.9450040788783	13.8796019984661	11.4518145501818	11.3764293495988	8079.96994838907	-3.01775067601333	0.077187873569857	-39.0961758168165	0	0	chr5	+	31193685	31329146	135461	protein_coding
ENSG00000120885	CLU	1204.19057342193	1081.4928014695	10519.7502271476	11308.5802675446	11.056106149057	10.9642785282891	13.495800378502	13.5912813119617	6028.50346739591	3.25652971809472	0.0854455668651149	38.1123308975819	0	0	chr8	-	27596916	27614700	17784	protein_coding
ENSG00000124762	CDKN1A	9474.29277601383	9632.15534989572	90234.480998096	94631.7713018705	13.358609666492	13.3801842545764	16.4781276647697	16.5460021665184	50993.175106469	3.27431565767446	0.0620916914051881	52.7335555462236	0	0	chr6	+	36676459	36687337	10878	protein_coding
ENSG00000137801	THBS1	176360.178269978	183467.151380235	13237.4686945264	11306.4903432668	17.4367648108078	17.4934300580945	13.8010902543274	13.5910365442064	96092.8221720014	-3.8739142945562	0.0768887755904826	-50.3833526389997	0	0	chr15	+	39581078	39599466	18388	protein_coding
ENSG00000156466	GDF6	20469.2493505307	21714.4026979088	2134.65994197911	1883.02177435922	14.3928697938438	14.4740923454999	11.5983796887316	11.4721026086009	11550.3334411945	-3.39248716293883	0.0796140377561028	-42.6116707374105	0	0	chr8	-	96142332	96160806	18474	protein_coding
ENSG00000169184	MN1	8098.92800537821	8362.19393318642	589.501161039504	489.042281021151	13.1555014593688	13.1966706997176	10.505502090258	10.384136042409	4384.91634515632	-3.93259859725318	0.0979722028899928	-40.1399425678819	0	0	chr22	-	27748276	27801756	53480	protein_coding
ENSG00000177706	FAM20C	29816.1566774553	28916.7220223531	2556.65257638444	2110.82352064685	14.9135938719709	14.8709119049662	11.786968680223	11.5869097246644	15850.0886992099	-3.65366948550676	0.0854386371019847	-42.763667696917	0	0	chr7	+	192570	260772	68202	protein_coding
ENSG00000197746	PSAP	62198.931114295	57813.1880720403	288073.862451731	282027.966563336	15.9487885218125	15.8451076673486	18.1413530053798	18.1108652075823	172528.487050351	2.24806539855761	0.0630537816337008	35.6531414977983	2.10642617387912e-278	4.38417500990041e-275	chr10	-	71816297	71851251	34954	protein_coding
ENSG00000104332	SFRP1	44299.2851196117	42907.4342732851	8172.48330905585	7215.46356933984	15.4687857185371	15.4238064972533	13.1671234999349	13.008002699005	25648.6665678231	-2.50268981303442	0.0735548762636385	-34.0247980849587	9.57761264122798e-254	1.79407839995483e-250	chr8	-	41261961	41309473	47512	protein_coding
ENSG00000103888	CEMIP	10674.5025541517	9129.27881110168	835.395087957621	655.19126111167	13.5150387482418	13.310297494901	10.7567485043652	10.5781834130341	5323.59192858067	-3.73221400853569	0.110730279983704	-33.7054508404112	4.80977712066358e-249	8.19061318402456e-246	chr15	+	80779342	80951776	172434	protein_coding
ENSG00000130449	ZSWIM6	1356.45599303643	1424.08294786334	8381.86896734858	8762.00753496228	11.161579448738	11.2057998609549	13.199700492693	13.2570159454626	4981.10386080266	2.62385356347963	0.0809212450425599	32.424779946226	1.22842261515488e-230	1.91756770225676e-227	chr5	+	61332257	61546172	213915	protein_coding
ENSG00000133816	MICAL2	12089.6752776277	12851.0936148558	2065.93849515484	1827.63878099571	13.6799615796183	13.7614436108438	11.5650450739179	11.4426505358054	7208.58654215853	-2.67958720511934	0.083107719846231	-32.2423381375066	4.5049891840057e-228	6.49134287652267e-225	chr11	+	12110590	12263785	153195	protein_coding
ENSG00000134333	LDHA	41070.8601442557	44278.6755533242	9088.41134251068	8279.23502677474	15.3622241721271	15.4681298262727	13.3044655874464	13.1838248196375	25679.2955167163	-2.29705379185663	0.0724448137919557	-31.7076360835604	1.21931151959722e-220	1.63143881322108e-217	chr11	+	18394562	18408425	13863	protein_coding
ENSG00000166923	GREM1	9219.5218778353	8120.00295565864	1383.01911733858	1293.66312800039	13.3230920998755	13.1588410328095	11.1791284044222	11.119124961646	5004.05176970823	-2.69549989040689	0.0906958740707592	-29.7202041220079	4.21013254054752e-194	5.25761351663574e-191	chr15	+	32718003	32745106	27103	protein_coding
ENSG00000117152	RGS4	13594.4158949946	13705.3672446811	2556.65257638444	2150.53208192634	13.8367710777865	13.8476840237286	11.786968680223	11.6059640264694	8001.74194949663	-2.53616144807458	0.0865281489623131	-29.31024734135	7.67826623228858e-189	8.98933019145186e-186	chr1	+	163068774	163076802	8028	protein_coding
ENSG00000135919	SERPINE2	4802.82951019356	4864.95621768529	717.280101228395	654.146298972736	12.5045214019432	12.5199899028596	10.642846153553	10.5770632155154	2759.80303202	-2.81780717144517	0.0966729179965485	-29.1478443998739	8.89642855969543e-187	9.80281763413029e-184	chr2	-	223975044	224039286	64242	protein_coding
ENSG00000182612	TSPAN10	930.510897644215	897.42765854839	5276.51858897654	5137.03387499995	10.8411740711908	10.8124718435512	12.6184157598899	12.5858155716989	3060.37275504227	2.51053960748704	0.0897377426282144	27.9764069605391	3.14727273114447e-172	3.27526182221101e-169	chr17	+	81637197	81648748	11551	protein_coding
ENSG00000115380	EFEMP1	12186.2095632657	10723.3357904663	2041.24172520236	1759.71624196499	13.6905512081441	13.5210564754988	11.5528627954442	11.4056247835891	6677.62583022485	-2.59158039318155	0.0932192955950033	-27.8009008396804	4.230298663443e-170	4.17062918755865e-167	chr2	-	55865966	55924139	58173	protein_coding
ENSG00000137809	ITGA11	23694.6887294237	20227.7904431201	4501.25476699017	4615.59776767184	14.5945208257451	14.3765750633638	12.4269398673746	12.4568569995776	13259.8329268015	-2.26824143109172	0.082590477817053	-27.4637160486724	4.76499897442522e-166	4.46289803944666e-163	chr15	-	68296531	68432163	135632	protein_coding
