Gene.id	genename	X21_011_Control_rep1	X21_011_Control_rep2	X21_011_JQ1_rep1	X21_011_JQ1_rep2	X21_011_Control_rep1.1	X21_011_Control_rep2.1	X21_011_JQ1_rep1.1	X21_011_JQ1_rep2.1	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	chromosome	strand	start	end	length	type
ENSG00000079308	TNS1	12015.1229888125	12276.5341460772	4642.1421054777	4493.0077793767	14.7328165831427	14.7483220763613	14.1656354068825	14.1499376123533	8356.70175493605	-1.4110825099724	0.0375058317764516	-37.6230160254269	0	0	chr2	-	217799788	217944128	144340	protein_coding
ENSG00000092969	TGFB2	14520.7777252252	15286.0355048265	4392.84188129464	4363.54997461991	14.873598565952	14.9134661663045	14.1392312952505	14.1360749030748	9640.80127149156	-1.76719172096693	0.0384002647184355	-46.0203004829422	0	0	chr1	+	218345335	218444619	99284	protein_coding
ENSG00000103888	CEMIP	10590.320793679	10501.0341434403	1663.43425446284	1622.33233103952	14.644389795582	14.6386105514305	13.7689879771239	13.7615033072341	6094.28038065541	-2.68257762419058	0.0444073663602659	-60.4083926623232	0	0	chr15	+	80779342	80951776	172434	protein_coding
ENSG00000108691	CCL2	5993.23025882901	6127.68717053104	207.391996841944	217.817893717782	14.2965403693034	14.3086097271551	13.3752295398123	13.3806091358427	3136.53182997994	-4.83246602543083	0.0849727411900186	-56.8707794729645	0	0	chr17	+	34255284	34257203	1919	protein_coding
ENSG00000108821	COL1A1	13242.0616733954	12735.317191179	3788.93357960981	3557.00730212718	14.8038609653736	14.7750422886372	14.0716228579626	14.0440956397755	8330.82993657785	-1.82260948758822	0.0412579011295969	-44.1760108412483	0	0	chr17	-	50184100	50201631	17531	protein_coding
ENSG00000115419	GLS	4668.28441481451	4722.48375565961	12388.7167439936	12361.1654684841	14.1683581118749	14.1739760228516	14.7549128329763	14.7532976618227	8535.16259573797	1.39815019328204	0.035747066166168	39.1123060780099	0	0	chr2	+	190880820	190965552	84732	protein_coding
ENSG00000118523	CCN2	27340.2990980521	28557.080486617	81535.1427169749	80552.5504026784	15.4156951309277	15.4570400929001	16.5947442096095	16.580223961569	54496.2681760806	1.5359727782561	0.0269221216852279	57.0524417137183	0	0	chr6	-	131948175	131951372	3197	protein_coding
ENSG00000122641	INHBA	7546.55127623609	7477.10564490791	1928.85302762326	1986.04711583242	14.4276221879748	14.4221160268888	13.8151520140045	13.8246546127725	4734.63926614992	-1.93999998480307	0.0457740044824724	-42.382133849485	0	0	chr7	-	41689589	41705834	16245	protein_coding
ENSG00000125148	MT2A	14758.3988570547	13630.7616670485	38731.7986226477	38729.4599230745	14.886119898322	14.8254969117043	15.76041790282	15.7603554229099	26462.6047674564	1.44800655770296	0.0343354501610284	42.1723481390812	0	0	chr16	+	56608583	56609497	914	protein_coding
ENSG00000125266	EFNB2	1829.7751746718	1738.95124851987	7851.88249183462	7667.80632460286	13.7983337391402	13.7824921965137	14.4514852756407	14.4371654796203	4772.10380990729	2.12025288003491	0.0469160066014618	45.1925266795585	0	0	chr13	-	106489744	106535662	45918	protein_coding
