Gene.id	genename	X21_011_Control_rep1	X21_011_Control_rep2	X21_011_si251_rep1	X21_011_si251_rep2	X21_011_Control_rep1.1	X21_011_Control_rep2.1	X21_011_si251_rep1.1	X21_011_si251_rep2.1	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	chromosome	strand	start	end	length	type
ENSG00000065534	MYLK	37862.129412004	37796.3332750249	8415.91952354988	8853.28308824612	15.3543725995632	15.3520993388697	13.574286284608	13.6265312295374	23231.9163247062	-2.13097609132371	0.0396487037896866	-53.7464251700963	0	0	chr3	-	123610048	123884332	274284	protein_coding
ENSG00000103888	CEMIP	11105.293853809	11050.8373064303	552.404481184063	551.682676490028	13.867974513058	13.8626071938271	11.7503705060202	11.749898437565	5815.05457947835	-4.32682058297855	0.0664129112423023	-65.1502923459036	0	0	chr15	+	80779342	80951776	172434	protein_coding
ENSG00000104332	SFRP1	35472.173994714	37276.0795311611	9032.1857944662	9652.56396254652	15.2693985772295	15.3339966443107	13.6473393756356	13.7171437258356	22858.250820722	-1.96070675013108	0.0442400266317713	-44.3197461532037	0	0	chr8	-	41261961	41309473	47512	protein_coding
ENSG00000156466	GDF6	17625.557619032	16835.3706647606	2568.30831039912	2728.28736598652	14.3959988548619	14.3415988094528	12.5475944339195	12.5905366352858	9939.38099004457	-2.70114798104169	0.0511171183381168	-52.8423367525299	0	0	chr8	-	96142332	96160806	18474	protein_coding
ENSG00000156804	FBXO32	15978.2820596099	16400.1389335126	4767.28260351333	4757.08628720839	14.28012668533	14.3107173255233	13.0344578662491	13.0325900704536	10475.6974709611	-1.76532864479176	0.0449011720745847	-39.3158700146935	0	0	chr8	-	123497888	123541206	43318	protein_coding
ENSG00000162591	MEGF6	12342.4472462885	12798.8493991401	3016.40520168716	3118.98414199909	13.9846438950818	14.0253347109906	12.6640643914644	12.6891673513442	7819.1714972787	-2.03443888128164	0.0508408148701335	-40.0158590392061	0	0	chr1	-	3487950	3611508	123558	protein_coding
ENSG00000169184	MN1	6323.44390732862	6416.12545204818	962.184298632742	957.442460734401	13.2919337601168	13.3057838307297	11.9788431342105	11.9765437809833	3664.79902968598	-2.73048559383616	0.0672545471564633	-40.5992711167003	0	0	chr22	-	27748276	27801756	53480	protein_coding
ENSG00000174136	RGMB	2583.86660733376	2529.40487532235	11644.1329945157	12292.3561551712	12.5518422760204	12.5369026213976	13.9199950403603	13.9801049693863	7262.44015808574	2.22697336942079	0.053453409543404	41.6619517528156	0	0	chr5	+	98769294	98796494	27200	protein_coding
ENSG00000177706	FAM20C	11944.9293066987	12039.7242864984	2082.95870843393	2158.71736722122	13.9482105266904	13.9569854674473	12.406257550216	12.4295493305621	7056.58241721304	-2.49890276917355	0.0523615353213014	-47.7240163765206	0	0	chr7	+	192570	260772	68202	protein_coding
ENSG00000136153	LMO7	16506.6900524793	16692.6551435839	5929.56717664049	5922.58654914466	14.3183401568087	14.3315466932509	13.2314005609567	13.2303022778563	11262.8747304621	-1.48600243145576	0.0430066496442092	-34.5528527274119	1.29146361197518e-261	1.93306273440445e-258	chr13	+	75620433	75859870	239437	protein_coding
ENSG00000113721	PDGFRB	4585.99964453609	4579.04267945511	732.2818555966	753.150411590482	13.0008347535715	12.9995265572952	11.8591584801087	11.8708002010383	2662.61864779457	-2.62476242801027	0.0762696624514785	-34.4142394714294	1.54418388381354e-259	2.101213124811e-256	chr5	-	150113838	150155845	42007	protein_coding
ENSG00000137809	ITGA11	20179.367991909	21269.6734894053	7074.82193917238	7315.91481058705	14.5587716842971	14.6229594960798	13.4002737629484	13.4332559404878	13959.9445577684	-1.52595305490033	0.0449514719696527	-33.946676004971	1.36559379786594e-252	1.70335066387145e-249	chr15	-	68296531	68432163	135632	protein_coding
ENSG00000154734	ADAMTS1	2132.05353453168	1846.19227394477	8699.04012469624	8881.52622868076	12.4214085997599	12.3300124042947	13.6083335837123	13.6298372887402	5389.70304046336	2.14335367279154	0.0666156922451498	32.1749065506047	3.96128507155424e-227	4.5609626885403e-224	chr21	-	26835754	26845409	9655	protein_coding
