Gene.id	genename	Ctrl_d3_rep1	Ctrl_d3_rep2	si8_d3_rep1	si8_d3_rep2	Ctrl_d3_rep1.1	Ctrl_d3_rep2.1	si8_d3_rep1.1	si8_d3_rep2.1	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	chromosome	strand	start	end	length	type
ENSG00000106484	MEST	10154.3631222071	10749.8298117055	1612.23240666187	1461.9226472912	13.5507807726532	13.621068850217	11.6665859617131	11.5911692820277	5994.58699696643	-2.76624729350691	0.0736225418211409	-37.5733739297843	0	0	chr7	+	130486335	130506465	20130	protein_coding
ENSG00000112715	VEGFA	13426.3704183917	13847.5952439579	2469.25027747117	2548.79707616738	13.9001932055667	13.9395527700293	12.0260204636088	12.0547619195007	8073.00325399704	-2.44217995691137	0.0628223442085368	-38.8743843878959	0	0	chr6	+	43770212	43786487	16275	protein_coding
ENSG00000120885	CLU	1085.16761525415	1093.83561602238	13021.4775885996	12399.553343517	11.3775777518301	11.3829706092867	13.8613113704755	13.7994505805104	6900.00854084827	3.544150206876	0.0693547699212084	51.101751341723	0	0	chr8	-	27596916	27614700	17784	protein_coding
ENSG00000137801	THBS1	128070.409163018	144204.473872221	11376.0032766457	10984.5117235277	16.9879995150387	17.1568050100954	13.6914249286785	13.6478455482834	73658.849508853	-3.60609942435521	0.0626004251112825	-57.6050309234286	0	0	chr15	+	39581078	39599466	18388	protein_coding
ENSG00000156466	GDF6	11355.0618904161	12298.2340345614	1468.87669009013	1335.6309002739	13.689127193445	13.7891142397957	11.5947653963137	11.5238787664907	6614.45087883537	-3.07696714443317	0.074769780141688	-41.1525503833548	0	0	chr8	-	96142332	96160806	18474	protein_coding
ENSG00000197746	PSAP	77076.8149994348	78648.0248745123	317118.427199791	305144.779685284	16.269347073919	16.297767179272	18.2833709335426	18.2281832547901	194497.011689755	1.9985168708338	0.049545177288025	40.3372634881425	0	0	chr10	-	71816297	71851251	34954	protein_coding
ENSG00000137809	ITGA11	16095.965274169	17017.1346667629	3099.80766847875	3266.36382058388	14.1330995679873	14.2054232115292	12.2382325270877	12.2890391656601	9869.81785749864	-2.37871805178846	0.0634403534424074	-37.4953467740042	1.09679301273066e-307	2.98907432912325e-304	chr15	-	68296531	68432163	135632	protein_coding
ENSG00000038427	VCAN	94185.7409182612	97782.9707558488	20935.1286671757	18607.9408162085	16.5522349325348	16.6052574443221	14.4778574505723	14.3223344457495	57877.9452893735	-2.2794740192162	0.0621534112811398	-36.674962358951	1.83117454033027e-294	4.36666458823507e-291	chr5	+	83471673	83582303	110630	protein_coding
ENSG00000103888	CEMIP	5445.43711114702	6946.7652989558	493.434531678085	496.556187136213	12.8219172949993	13.0974134688457	10.921716948513	10.9247892897008	3345.54828222928	-3.64603176453637	0.110296440553727	-33.0566584581697	1.24804160458556e-239	2.64543218785319e-236	chr15	+	80779342	80951776	172434	protein_coding
ENSG00000115380	EFEMP1	8321.3375972008	8982.27567102895	1643.39669287312	1544.20363398429	13.3096530298452	13.4013849291958	11.6816483641824	11.6330391682433	5122.80339877179	-2.44102467904287	0.0745001145361619	-32.7653815600245	1.83361473561207e-235	3.49798683112715e-232	chr2	-	55865966	55924139	58173	protein_coding
