Gene.id	genename	Control_rep1	Control_rep2	si88_rep1	si88_rep2	Control_rep1.1	Control_rep2.1	si88_rep1.1	si88_rep2.1	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	chromosome	strand	start	end	length	type
ENSG00000121892	PDS5A	5292.83930853079	5324.86959266644	955.100684275531	924.427800196461	12.5604495862773	12.5681104694365	10.6762231776135	10.6472613665047	3124.3093464173	-2.49808935983151	0.115355575265059	-21.6555580785022	5.3874771467051e-104	7.35821628696982e-100	chr4	-	39822862	39977911	155049	protein_coding
ENSG00000177706	FAM20C	30606.7295278098	29573.2016585943	8141.94502094816	7967.83299308407	14.9372962795371	14.8889631304597	13.1191878599987	13.0906210239791	19072.4273001091	-1.90134060012629	0.0972580237327099	-19.5494472039825	4.17014950725551e-85	2.84779509850479e-81	chr7	+	192570	260772	68202	protein_coding
ENSG00000275993	SIK1B	4764.67912275383	4776.35038056666	16854.2245888183	18164.0879680987	12.4278239084548	12.4308916344144	14.1047705213127	14.2082760403592	11139.8355150594	1.87589711970511	0.1020900023132	18.3749346380665	2.08558944646491e-75	9.4949935532726e-72	chr21	+	6111130	6123778	12648	protein_coding
ENSG00000065809	FAM107B	2710.26880631773	2873.19587290357	8301.30320317635	8376.98922694586	11.7478765696549	11.8154461344962	13.1448454978502	13.1568728366882	5565.43927733588	1.57857593382147	0.106065591479757	14.8830163656114	4.24902596715527e-50	1.45082991648517e-46	chr10	-	14518556	14774897	256341	protein_coding
ENSG00000158258	CLSTN2	4562.40500905202	3881.96683768477	13555.9295803322	13189.9317584323	12.3735830943243	12.1743140178417	13.8055273967823	13.7681409147929	8797.55829637531	1.66351645290084	0.113417133941653	14.6672411397437	1.04508654044487e-48	2.8547583938792e-45	chr3	+	139935184	140577397	642213	protein_coding
ENSG00000213626	LBH	10020.7413197025	9038.4077067672	27169.5216608127	31015.266934406	13.3959683818686	13.2579065226068	14.769864744265	14.9559637008506	19310.9844054221	1.61024549078211	0.110976661034967	14.5097669705051	1.05076925984568e-47	2.39190109182872e-44	chr2	+	30231533	30260028	28495	protein_coding
ENSG00000168672	LRATD2	2207.64828136171	2161.65206738827	6227.55001602267	6602.61842723102	11.5162285006842	11.4929796760073	12.7687049682073	12.8444467257047	4299.86719800092	1.5541536484693	0.109480186223961	14.19575269346	9.73356915005404e-46	1.8991583921634e-42	chr8	-	126552442	126558478	6036	protein_coding
ENSG00000166106	ADAMTS15	2890.06801849712	3234.3719058297	8354.77206695028	8931.03370322255	11.8222617600214	11.9546099156012	13.1533527085352	13.2419798837418	5852.56142362491	1.49669082589166	0.112215719443973	13.3376217994033	1.39850176534106e-40	2.38759213887852e-37	chr11	+	130448973	130476641	27668	protein_coding
ENSG00000148926	ADM	2194.36765773483	2402.13585988521	6309.32592532398	6830.15418820653	11.5095555552125	11.6104619601454	12.7855632475891	12.8885197421181	4433.99590778764	1.51505072508144	0.114058425592458	13.2831109776569	2.90087059735259e-40	4.40223229096019e-37	chr11	+	10305072	10307397	2325	protein_coding
ENSG00000160145	KALRN	900.017647329787	777.294055898365	2784.57455261889	2925.3140211515	10.6237371829914	10.4983901475119	11.7790954832439	11.8363942467256	1846.80006924963	1.76818420956939	0.13344999457053	13.2497885463374	4.52476335103398e-40	6.1799217848422e-37	chr3	+	124094680	124519850	425170	protein_coding
ENSG00000187498	COL4A1	22706.8016426778	22014.6249296267	53164.8251367861	58283.846360731	14.5187014517518	14.4755064699728	15.7189180461882	15.8497388168979	39042.5245174554	1.31735735933154	0.100061119694622	13.165526863501	1.38567626256181e-39	1.72050603582447e-36	chr13	-	110148962	110307157	158195	protein_coding
ENSG00000089685	BIRC5	2857.37725264633	4077.41621211112	807.275002077013	670.363206102732	11.8090260241156	12.2344602394814	10.5301793618395	10.3778920885573	2103.1079182343	-2.23106884161828	0.169763890459915	-13.1421872788966	1.88692452600217e-39	2.14763459801148e-36	chr17	+	78214185	78225636	11451	protein_coding
ENSG00000112033	PPARD	3531.62429831904	4053.09762635301	1032.68295720241	1228.48904132068	12.0596924049498	12.2271135606914	10.7467071273173	10.9093600341994	2461.47348079879	-1.7460418763932	0.136160929986493	-12.8233692041205	1.21312235673411e-37	1.27452501140573e-34	chr6	+	35342557	35428191	85634	protein_coding
ENSG00000213694	S1PR3	1860.30889419698	2029.25087826074	575.576592389974	498.946130569613	11.3302037201244	11.4238025726525	10.2601056948152	10.1554911459513	1241.02062385433	-1.8563523908977	0.147338882114698	-12.599202357546	2.13290545252598e-36	2.08080161932856e-33	chr9	+	88991467	89005155	13688	protein_coding
ENSG00000113389	NPR3	160.389069955478	189.144555896474	935.180911497007	895.858287607608	9.50747094324588	9.58321859423794	10.657488961905	10.6196853553282	545.143206239142	2.38702659328483	0.189795750683331	12.5768178933969	2.83209704877219e-36	2.57871876614204e-33	chr5	+	32710636	32791724	81088	protein_coding
ENSG00000147862	NFIB	4375.45469184277	4761.03867842266	1694.22909526812	1571.32319238692	12.3215499356768	12.4268656882803	11.2315499954428	11.1536803577177	3100.51141448012	-1.48450336908263	0.118631002851665	-12.5136206674308	6.28908752627574e-36	5.36852233961713e-33	chr9	-	14087859	14398983	311124	protein_coding
ENSG00000118898	PPL	72.5326367314584	44.1337297091772	499.042728556699	590.77670674807	9.21354320046452	9.07851495804553	10.1556291492572	10.2797919132931	301.621450436351	3.23220044425911	0.273849848495333	11.802819910321	3.77447120952815e-32	3.03245457527855e-29	chr16	-	4882506	4937148	54642	protein_coding
ENSG00000111206	FOXM1	4589.98784273863	5903.1115206928	1769.71455000779	1630.50289703526	12.3811020148188	12.6997966981302	11.277268781451	11.1917292671553	3473.32920261862	-1.62602550204272	0.138258740873509	-11.7607428779519	6.21847291751131e-32	4.71843906152053e-29	chr12	-	2857679	2877174	19495	protein_coding
ENSG00000138160	KIF11	2945.23368587035	3912.59024197277	966.633184305203	685.668302132475	11.8443192036444	12.1839073957841	10.6869462273853	10.3958791489418	2127.5313535702	-2.05380040380137	0.174937125522658	-11.7402203658328	7.92796088921126e-32	5.6989520960446e-29	chr10	+	92593129	92655395	62266	protein_coding
ENSG00000164161	HHIP	3084.16944073624	3622.56858959817	1131.23341200142	1205.02122740841	11.8983906310419	12.0903467269877	10.8310776991136	10.8908892175278	2260.74816743606	-1.52160954624713	0.131836459009653	-11.541644532001	8.13547788221725e-31	5.47240065761036e-28	chr4	+	144646155	144745271	99116	protein_coding
ENSG00000171208	NETO2	2748.06750433272	3362.26965315017	1009.61795714307	819.332807458895	11.7638438789428	12.0007813222262	10.726149193118	10.5427411217028	1984.82198052121	-1.74071123017325	0.150857901413662	-11.53874748264	8.41414656683391e-31	5.47240065761036e-28	chr16	-	47077702	47143945	66243	protein_coding
ENSG00000082482	KCNK2	1193.21295355413	1029.48679709366	289.360909835397	233.657799387406	10.8814972508072	10.7438776683938	9.80589581241786	9.68877870920043	686.42961496765	-2.08744868204409	0.183574524094216	-11.3711240290224	5.823280412953e-30	3.61519835818692e-27	chr1	+	215005854	215235219	229365	protein_coding
