Gene.id	genename	Control_rep1	Control_rep2	si31_rep1	si31_rep2	Control_rep1.1	Control_rep2.1	si31_rep1.1	si31_rep2.1	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	chromosome	strand	start	end	length	type
ENSG00000124762	CDKN1A	9413.57708234559	9600.91944107796	47262	44867.7793543344	13.3333435978761	13.3593463064966	15.5563319386721	15.4827994358931	27786.0689694395	2.27655501098876	0.0661704025114744	34.4044304490061	2.1647439088962e-259	3.48826833479534e-255	chr6	+	36676459	36687337	10878	protein_coding
ENSG00000112984	KIF20A	3509.3261623156	4588.46172794317	161	132.39672596361	12.0996305058364	12.4193705473726	9.69670809008496	9.62050493669248	2097.7961540556	-4.78271754930581	0.153831399686975	-31.090645726672	3.22258443148435e-212	2.59643627644694e-208	chr5	+	138179111	138187723	8612	protein_coding
ENSG00000066279	ASPM	4486.28143094558	6185.24992062131	297	279.504199256509	12.3920025240625	12.7902407859773	9.98410053685434	9.95200044554668	2812.00888770585	-4.20971819836902	0.141424825494541	-29.7664726376594	1.06158377074337e-194	5.70212029391953e-191	chr1	-	197084127	197146694	62567	protein_coding
ENSG00000122966	CIT	3491.52738211788	4682.39044515954	226	216.134826145722	12.0937010619444	12.4440721457508	9.84613972262057	9.82514146626017	2154.01316335579	-4.20806384690439	0.145614955676109	-28.8985690196849	1.24439446091379e-183	5.01304308579121e-180	chr12	-	119685790	119877320	191530	protein_coding
ENSG00000091986	CCDC80	13208.6725489467	12909.4926671384	44614	42979.1457164432	13.7856633438865	13.7547365195796	15.4747809007634	15.4220284006492	28427.8277331321	1.74581912199373	0.0648144974427494	26.9356269179717	8.40646770133612e-160	2.70923641078661e-156	chr3	-	112596796	112641143	44347	protein_coding
ENSG00000117399	CDC20	2556.1026006159	3695.69999514841	113	122.212362427947	11.7405194682468	12.1602671643784	9.56368449490093	9.5912675458964	1621.75373954806	-4.73431170902204	0.176529869883862	-26.8187571436874	1.95286767072382e-158	5.24475160767395e-155	chr1	+	43358980	43363203	4223	protein_coding
ENSG00000068489	PRR11	3240.36681710572	4516.47897269325	258	236.503553217046	12.0072558727734	12.4001456361712	9.91094896246991	9.86794563506021	2062.83733575401	-3.97051405822621	0.150950575693997	-26.3034045413324	1.75322858619584e-152	4.03593220542282e-149	chr17	+	59155745	59206709	50964	protein_coding
ENSG00000204843	DCTN1	9309.7508645256	9631.64378783098	2449	2348.06159294436	13.3187274777691	13.3635662253241	11.6937363740354	11.6481530492257	5934.61406132523	-1.98110192456692	0.0777950524567225	-25.4656544600829	4.73618341042482e-143	9.53985743444819e-140	chr2	-	74361156	74392087	30931	protein_coding
ENSG00000164924	YWHAZ	24149.9782649292	24486.4265236746	7101	7496.82315819585	14.6136764929435	14.6329156431246	12.9662742569683	13.0361417058256	15808.5569866999	-1.73644677819429	0.0684293747962427	-25.3757510333067	4.67196887157593e-142	7.73503484658699e-139	chr8	-	100916524	100952983	36459	protein_coding
ENSG00000138180	CEP55	1915.34651349826	2512.373725918	102	101.843635356623	11.4336165284229	11.7216083636275	9.52914231091718	9.52863749171948	1157.89096869322	-4.44149457786439	0.175036437420157	-25.3746856558959	4.8001953869846e-142	7.73503484658699e-139	chr10	+	93496611	93529092	32481	protein_coding
ENSG00000137804	NUSAP1	1798.66562109103	2443.02448610405	92	93.9224637177744	11.369508467403	11.6910792101761	9.49599558143215	9.5025094572014	1106.90314272821	-4.51288611652896	0.183768974243728	-24.5573886185141	3.60634209121938e-133	5.28296331435537e-130	chr15	+	41320793	41381021	60228	protein_coding
ENSG00000111206	FOXM1	4442.77330157339	5753.35338912178	643	676.694377147338	12.3801874120286	12.6990493667841	10.471477650129	10.509199981759	2878.95526696063	-2.9505207272393	0.122411190911056	-24.1033577508706	2.30506310079425e-128	3.09531556718321e-125	chr12	-	2857679	2877174	19495	protein_coding
ENSG00000126787	DLGAP5	1636.49895706743	2221.80918948234	58	78.0801204400775	11.2750516653097	11.5889385241864	9.36627602970116	9.44654065307243	998.597066747461	-4.83358680958239	0.201868242229602	-23.9442656070921	1.0602843300381e-126	1.31426320724876e-123	chr14	-	55148134	55191585	43451	protein_coding
ENSG00000010292	NCAPD2	6552.91757612439	8498.35431188404	1162	1137.25392814895	12.863537121426	13.1990720834693	10.9526477878711	10.933445698753	4337.63145403935	-2.71075035007886	0.113459383883278	-23.8918127113007	3.72584231180851e-126	4.28844450089159e-123	chr12	+	6494101	6531955	37854	protein_coding
ENSG00000138160	KIF11	2850.77129500024	3813.33035128853	331	354.189531851366	11.8616668359861	12.197240608754	10.0435304361844	10.0820732751441	1837.32279453503	-3.28309689365333	0.142158137736577	-23.0946813592691	5.23636495879231e-118	5.62525232973196e-115	chr10	+	92593129	92655395	62266	protein_coding
ENSG00000138778	CENPE	1723.5152158118	2303.44816799749	133	112.027998892285	11.3265553292905	11.6275173657033	9.6221986054275	9.56070580983192	1067.99784567539	-4.03573398573031	0.176348747329748	-22.8849597563857	6.56011157443264e-116	6.60685236940047e-113	chr4	-	103105348	103198445	93097	protein_coding
ENSG00000186193	SAPCD2	1367.53961185756	2025.17337026304	48	49.7902217299045	11.1020499970148	11.4913233556925	9.3208841692166	9.32934438718682	872.625800962625	-5.11823595493122	0.228229378933705	-22.4258418387842	2.20289042511583e-111	2.08808095943038e-108	chr9	-	137062126	137070557	8431	protein_coding
ENSG00000161888	SPC24	1513.88513792764	2032.1960780923	107	108.633211047064	11.1989549117553	11.4949318051701	9.54507501241577	9.55019396629721	940.42860676675	-4.04048130719681	0.182263297081826	-22.1683760355924	6.93682644557189e-109	6.21000118577475e-106	chr19	-	11145493	11155808	10315	protein_coding
ENSG00000076382	SPAG5	1795.69915772475	2628.2484051008	140	134.659917860423	11.3678385170401	11.7711684707178	9.64155841596659	9.62683771892663	1174.65187017149	-4.00948631218487	0.181655492794473	-22.0719244461341	5.88334604467493e-108	4.98969674546799e-105	chr17	-	28577573	28599025	21452	protein_coding
ENSG00000137812	KNL1	1524.76217027068	2211.27512773845	80	97.3172515629951	11.2058830800984	11.5838810939145	9.45362076967198	9.51384354932343	978.338637393031	-4.40190015924677	0.199714795055623	-22.0409317097453	1.16710819603302e-107	9.40339073543806e-105	chr15	+	40594019	40664342	70323	protein_coding
ENSG00000062650	WAPL	3666.54872072872	3894.09149132503	864	800.038335523693	12.1509528763531	12.2220771792761	10.6995840136686	10.6378805474022	2306.16963689436	-2.18315656086466	0.101022608513512	-21.610574038708	1.42861500046147e-103	1.0962239103541e-100	chr10	-	86435255	86521792	86537	protein_coding
ENSG00000171241	SHCBP1	1291.40038545623	1982.15928480882	52	56.579797420346	11.0486757367992	11.4690116037466	9.33957491272042	9.36008939442241	845.534866921349	-4.91681792312943	0.228944170944779	-21.4760563802053	2.60724503710149e-102	1.90968847853879e-99	chr16	-	46578590	46621379	42789	protein_coding
ENSG00000118193	KIF14	1232.07111813053	1748.6542494859	60	46.3954338846837	11.0055247254937	11.3410760843568	9.37485748183508	9.31316277991007	771.780200375277	-4.80210283003282	0.224339303168613	-21.4055351077896	1.18650995828019e-101	8.31279194248998e-99	chr1	-	200551499	200620751	69252	protein_coding
ENSG00000134057	CCNB1	1582.1137953522	2203.37458143053	123	140.317897602458	11.2418311851402	11.5800758046066	9.59357387455696	9.64242519953483	1012.2015685963	-3.84861333391527	0.181017939815179	-21.2609498143927	2.61078840068311e-100	1.75292684535865e-97	chr5	+	69167149	69178245	11096	protein_coding
ENSG00000156970	BUB1B	1625.62192472438	2401.76607760714	137	143.712685447679	11.2684729798778	11.6725923182621	9.63332619078693	9.65161667631507	1077.0251719448	-3.84408064867182	0.185029141940114	-20.775541670706	7.20468665103743e-96	4.64385282779269e-93	chr15	+	40161068	40221123	60055	protein_coding
