Gene.id	genename	Ctrl_d3_rep1	Ctrl_d3_rep2	si7_d2_rep1	si7_d2_rep2	Ctrl_d3_rep1.1	Ctrl_d3_rep2.1	si7_d2_rep1.1	si7_d2_rep2.1	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	chromosome	strand	start	end	length	type
ENSG00000117724	CENPF	11438.1893495317	12074.1208307538	2092.65942046689	2003.73145650682	13.6915924623199	13.7596333506335	11.8604172931884	11.8230733124007	6902.1752643148	-2.52134538115508	0.0630875100303076	-39.9658407812229	0	0	chr1	+	214603194	214664571	61377	protein_coding
ENSG00000123416	TUBA1B	42015.0163457987	43159.888620661	8928.19745825495	9056.44575334844	15.4203870572198	15.4575843772952	13.3860296425832	13.40333833336	25789.8870445158	-2.24363865448298	0.0478072437966029	-46.9309350697689	0	0	chr12	-	49127781	49131395	3614	protein_coding
ENSG00000124762	CDKN1A	7532.23963029878	7582.36336792802	93740.3839262036	105399.905599161	13.182561523035	13.1903962603927	16.5445568179222	16.7106112840529	53563.723130898	3.71977823581427	0.0581445522974658	63.9746646733815	0	0	chr6	+	36676459	36687337	10878	protein_coding
ENSG00000140416	TPM1	47692.832820097	45894.9210851887	13343.1605855672	13395.4751019405	15.5961037240555	15.5427440667541	13.8864418853865	13.8914357923802	30081.5973981983	-1.80736661020969	0.0475798295279844	-37.9859833072053	0	0	chr15	+	63042769	63071190	28421	protein_coding
ENSG00000148773	MKI67	25903.1027483395	26256.696063185	3921.53824171527	3594.6770335616	14.7591403092705	14.7774406272319	12.4578482311302	12.36883423634	14919.0035217003	-2.79526475917019	0.0568471239104267	-49.1716126848327	0	0	chr10	-	128096658	128126423	29765	protein_coding
ENSG00000149591	TAGLN	14503.0957342402	13827.0017918566	2281.96079167077	2173.81452720697	13.9932767433282	13.9319779807342	11.9364487590175	11.8935666990731	8196.46821124362	-2.66884813095925	0.0608689494921668	-43.8458056730995	0	0	chr11	+	117199369	117207464	8095	protein_coding
ENSG00000156466	GDF6	11359.7607686435	12349.9304995238	1597.16566742505	1601.4563286149	13.6829721253647	13.7881654561533	11.6365493126266	11.6386725489116	6727.07831605182	-2.89003109240732	0.0666879469695157	-43.3366331359459	0	0	chr8	-	96142332	96160806	18474	protein_coding
ENSG00000172667	ZMAT3	6460.03837315665	6600.21186450312	27570.7620038083	29410.0383880894	13.0036273564375	13.0283518264235	14.8434817936019	14.9311092889076	17510.2626573894	2.12528374332881	0.0537368477894072	39.549840207556	0	0	chr3	-	179017222	179071809	54587	protein_coding
ENSG00000177706	FAM20C	8668.42209816547	8895.10207015738	1414.07089855573	1178.15969760272	13.3503101326755	13.3815285826476	11.5422784314383	11.4085629643657	5038.93869112033	-2.76152200468453	0.0799204387713792	-34.5533889345147	1.26773651271737e-261	2.30953420694599e-258	chr7	+	192570	260772	68202	protein_coding
ENSG00000286522	H3C2	7779.90883310351	8256.99189572086	1436.82844044909	1244.09077557076	13.2208585258784	13.2918323218104	11.5544072020222	11.4475082835818	4679.45498621105	-2.58161873244579	0.0777895324032637	-33.1872252305438	1.64573303270066e-241	2.69834388041601e-238	chr6	-	26031588	26032099	511	protein_coding
ENSG00000066279	ASPM	6388.83347735029	7030.74403038801	1176.15114239785	1095.98473085996	12.9908994353833	13.1016853964522	11.4073554847635	11.358081646327	3922.92834524903	-2.56289394305639	0.0782977986028364	-32.7326436858922	5.36244561016414e-235	7.99296892947739e-232	chr1	-	197084127	197146694	62567	protein_coding
ENSG00000100316	RPL3	31216.6391035125	32145.7610465389	9788.84631531301	8979.04840095118	15.0122825371774	15.0523133603485	13.4983412984674	13.3929178442257	20532.5737165789	-1.75555040833232	0.0553035097947704	-31.7439239362404	3.85152624687608e-221	5.26246869531502e-218	chr22	-	39312883	39320389	7506	protein_coding
ENSG00000113361	CDH6	8668.42209816547	9121.90026468603	2265.40985211196	2212.99096484015	13.3503101326755	13.4120916604619	11.9299779608887	11.9092667729065	5567.1807949509	-1.99025710008714	0.06411531315792	-31.041836997427	1.4703055047875e-211	1.85439454280738e-208	chr5	+	31193685	31329146	135461	protein_coding
ENSG00000185567	AHNAK2	27921.606751198	27914.4371037015	79182.7981505088	85504.0084187203	14.8606136210137	14.8602655579824	16.3061646275938	16.4145491870518	55130.7126060322	1.56047837667718	0.0505509824603724	30.8693976007381	3.07660579667804e-209	3.6031449030238e-206	chr14	-	104937252	104978374	41122	protein_coding
ENSG00000171848	RRM2	5692.26384446199	6161.99162422744	1142.01482955781	1050.11963314306	12.8598926564668	12.9495650593218	11.3866354654943	11.328888226617	3511.59748284757	-2.43576952217073	0.0792248687120123	-30.7450117844299	1.42570323576163e-207	1.55838868356984e-204	chr2	+	10120697	10131418	10721	protein_coding
ENSG00000088325	TPX2	5476.58524701954	5778.54891398621	1147.18699816994	1081.65188782343	12.8167115342677	12.87680104931	11.389799262384	11.3490404276229	3370.99326174978	-2.33679492867144	0.0763192437586867	-30.6186855842038	6.9040628468887e-206	7.07493840234919e-203	chr20	+	31739289	31801800	62511	protein_coding
ENSG00000198901	PRC1	4681.97988802104	4974.1841308486	900.991772232657	830.349373249609	12.6449641192031	12.7106155490474	11.2282278125757	11.1770370193826	2846.87629108798	-2.48039031436613	0.0826019797180125	-30.028218728337	4.20323107158356e-198	4.05389274409906e-195	chr15	-	90966076	90995629	29553	protein_coding
ENSG00000167552	TUBA1A	14501.0318242168	14870.6578904079	4440.8239703729	4699.26147024347	13.9930935506515	14.0255338133555	12.5883324845846	12.6489346776134	9627.94378881026	-1.68395987671061	0.0568238114589921	-29.634757568592	5.33143355132646e-193	4.85634358375271e-190	chr12	-	49184770	49189078	4308	protein_coding
ENSG00000133816	MICAL2	11590.9186912613	12119.2882677998	3636.03453432582	3563.14477888123	13.7082316115723	13.7643450105243	12.3804243013984	12.3599305918318	7727.34656806702	-1.71975829903081	0.0584442719464581	-29.4256090760496	2.58344716861659e-190	2.2293789356125e-187	chr11	+	12110590	12263785	153195	protein_coding
ENSG00000188229	TUBB4B	10417.5858429739	10414.4577716395	2909.86206118308	3100.67171023588	13.5751290096349	13.5747570382991	12.1608460877212	12.2221112632622	6710.64434650809	-1.79292409121914	0.061068633275574	-29.3591651728722	1.82529173662176e-189	1.49637416568252e-186	chr9	+	137241286	137243707	2421	protein_coding
ENSG00000112984	KIF20A	3048.39510452152	3114.63113757347	442.737633198137	448.140225608822	12.2056041948296	12.226484888287	10.8365103729675	10.8422357182861	1763.47602522549	-2.79024678818331	0.0960164114286573	-29.0601028164496	1.14696135082168e-185	8.95503728955822e-183	chr5	+	138179111	138187723	8612	protein_coding
ENSG00000106484	MEST	10158.5651350406	10795.0174539842	2994.68562642198	3063.4063183409	13.5439943823561	13.6193135904292	12.1884294271027	12.2103651015119	6752.91863344692	-1.79023865052183	0.0618023599009576	-28.9671568106915	1.70647189143054e-184	1.27178696054069e-181	chr7	+	130486335	130506465	20130	protein_coding
ENSG00000101335	MYL9	15062.4153505742	14102.8114606266	4468.75368087839	4579.82111160572	14.0420786194585	13.9573020339881	12.5950115543237	12.6212566487539	9553.45040092122	-1.68832220395402	0.0582893320912896	-28.9645144897159	1.84237602899223e-184	1.31337379875464e-181	chr20	+	36541518	36551447	9929	protein_coding
ENSG00000104332	SFRP1	46182.0506829882	45653.7077511773	14392.0763801067	12565.1257286909	15.5513993323693	15.5354325244142	13.9833892688519	13.8100384044805	29698.2401357408	-1.76853847094337	0.0611851682223938	-28.9046924659117	1.04233155675888e-183	7.12086175192443e-181	chr8	-	41261961	41309473	47512	protein_coding
ENSG00000131711	MAP1B	34785.139533924	34975.9334316528	13720.7288942525	13927.7013400303	15.1603130798914	15.1678151034045	13.9220995755581	13.9412758866296	24352.3757999649	-1.3351997466085	0.0467162108245409	-28.5810797374666	1.15478642510741e-179	7.57355129042445e-177	chr5	+	72107474	72209565	102091	protein_coding
ENSG00000144824	PHLDB2	5122.62467801112	5129.86763726233	1203.04641918092	1165.7379003044	12.7428134298408	12.7443655587129	11.4234191825437	11.4010747877927	3155.31915868969	-2.11401412747081	0.0741771239363827	-28.499542922207	1.18680680439115e-178	7.48418629415278e-176	chr3	+	111732496	111976267	243771	protein_coding
ENSG00000203814	H2BC18	4229.98359290241	4324.54184482587	889.613001285975	816.016530213079	12.5368391934954	12.560171623743	11.2201478259766	11.1663388365095	2565.03874230683	-2.32719012784826	0.083166954227204	-27.9821492739846	2.67959531098249e-172	1.62720906366181e-169	chr1	-	149782688	149812373	29685	protein_coding
ENSG00000203811	H3C14	4291.90089360359	4584.01435551542	797.548399990101	669.821531240478	12.5521620721297	12.6222377997481	11.1523892890652	11.0502853529495	2585.8212950874	-2.59819750745008	0.0931225751854889	-27.9008339521838	2.60662130310716e-171	1.47372975468086e-168	chr1	-	149839537	149841193	1656	protein_coding
ENSG00000203852	H3C15	4291.90089360359	4584.01435551542	797.548399990101	669.821531240478	12.5521620721297	12.6222377997481	11.1523892890652	11.0502853529495	2585.8212950874	-2.59819750745008	0.0931225751854889	-27.9008339521838	2.60662130310716e-171	1.47372975468086e-168	chr1	+	149852618	149854274	1656	protein_coding
ENSG00000184357	H1-5	3976.12266002756	3741.2092004238	662.037582352354	559.936401293752	12.4721629508734	12.4094606042172	11.043710796739	10.9530213028318	2234.82646102437	-2.66030309016134	0.0960810999284843	-27.6880998671068	9.71187479617324e-169	5.30786330526855e-166	chr6	-	27866791	27867588	797	protein_coding
ENSG00000138160	KIF11	3997.79371527298	4489.8354442281	767.54982203976	703.264831659047	12.4778048653944	12.6000316788655	11.1293195984521	11.0780422417086	2489.61095329997	-2.5296792993698	0.091889247267547	-27.5296552599274	7.75533406488078e-167	4.1018212041221e-164	chr10	+	92593129	92655395	62266	protein_coding
ENSG00000180660	MAB21L1	1572.69943781002	1680.80526368899	6214.87780433272	6222.364923592	11.6243707917009	11.6772869336354	12.9593111288518	12.9606854327816	3922.68685735593	1.93420200751015	0.0704012463525673	27.4739739382415	3.59359282677367e-166	1.84126712461816e-163	chr13	-	35473788	35476689	2901	protein_coding
ENSG00000182718	ANXA2	55789.5518417883	56205.5898525524	24200.5769361458	23594.7262067349	15.814587790963	15.824967639182	14.6676137646193	14.6335865224041	39947.6112093053	-1.22852900629627	0.0453770106485979	-27.0738197324206	2.00295645860952e-161	9.95165881677626e-159	chr15	-	60347143	60398742	51599	protein_coding
ENSG00000196747	H2AC13	3601.52299078541	3821.93398152722	710.655967306355	643.066890905623	12.3707596041734	12.4313340003712	11.0840729686692	11.0274990071619	2194.29495763115	-2.45620296333449	0.0907360641894831	-27.0697542953288	2.23632239978325e-161	1.07843359020136e-158	chr6	+	27808198	27808701	503	protein_coding
ENSG00000011426	ANLN	7896.51974942407	9200.70302719174	1961.28633771885	1816.44897416284	13.2385374010256	13.4225590750674	11.8048532134823	11.7406129623168	5218.73952212437	-2.17867359753701	0.0805064397806251	-27.0621033978618	2.75162951502174e-161	1.28902050080847e-158	chr7	+	36389820	36453791	63971	protein_coding
ENSG00000163431	LMOD1	2032.95137302214	1887.42226294178	171.715997922642	147.150521841703	11.8354654525759	11.7725037214134	10.4748850145204	10.4297593170488	1059.81003893207	-3.6221946021385	0.134047068006423	-27.0218114876257	8.1927641123276e-161	3.73134889960343e-158	chr1	-	201896455	201946548	50093	protein_coding
ENSG00000129250	KIF1C	9508.43347767817	8977.7488698585	2880.89791695516	2795.85991499235	13.4627129463141	13.3927422264918	12.1512947824633	12.1228482628584	6040.73504487105	-1.7033671100169	0.0631304726191493	-26.9816942491924	2.42391422998391e-160	1.0741215598599e-157	chr17	+	4997949	5028401	30452	protein_coding
ENSG00000115380	EFEMP1	8324.78107927391	9020.03327900791	2374.02539296664	2147.05988687212	13.3016347664974	13.3984454083339	11.9718624194233	11.8827330189242	5466.47490953014	-1.9403409933273	0.0720366302134863	-26.9354769591102	8.4405388453482e-160	3.64187039232445e-157	chr2	-	55865966	55924139	58173	protein_coding
ENSG00000198830	HMGN2	9059.5330475946	9868.60448989263	2590.22204095358	2319.05400331047	13.4037524149948	13.5083143877145	12.0514150714815	11.9508339818391	5959.35339543782	-1.94752691501366	0.0724732894145691	-26.8723405649938	4.62472607704569e-159	1.94428227587798e-156	chr1	+	26472439	26476642	4203	protein_coding
ENSG00000167553	TUBA1C	12014.0202460527	13019.7539808224	3926.7104103274	4054.28353359964	13.7533397610389	13.8551769211541	12.4592110768624	12.4924031950018	8253.69204270053	-1.64921052393773	0.0617548846875363	-26.7057501974509	4.03596440078126e-157	1.65434180788024e-154	chr12	+	49227925	49273334	45409	protein_coding
ENSG00000136295	TTYH3	15063.4473055859	14887.9560577872	37621.3200508949	40542.8353359964	14.04216714196	14.0270341554353	15.2679967840408	15.371099679383	27028.8896875661	1.38394071012727	0.0522778704477168	26.4727828099147	1.99503003921959e-154	7.97817378610837e-152	chr7	+	2631985	2664802	32817	protein_coding
