Gene.id	genename	Control_rep1	Control_rep2	si88_si91_rep1	si88_si91_rep2	Control_rep1.1	Control_rep2.1	si88_si91_rep1.1	si88_si91_rep2.1	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	chromosome	strand	start	end	length	type
ENSG00000198959	TGM2	26300.3387018425	22893.4512145857	3132.48876710219	3166.96316156449	14.7512486759407	14.5608896941111	12.0798478017726	12.0915489952421	13873.3104612737	-2.96513176577544	0.0821404341884576	-36.0983210652678	2.40982947571271e-285	4.42492888330368e-281	chr20	-	38127384	38165270	37886	protein_coding
ENSG00000225783	MIAT	1475.84318207389	1154.86834235962	11167.6058964933	11667.4437282606	11.3491478919431	11.1442281096542	13.601206407895	13.6582426703328	6366.44028729686	3.11916424970109	0.102755804241484	30.3551149516654	2.15081791423385e-202	1.9746659270581e-198	chr22	+	26646451	26669655	23204	lncRNA
ENSG00000112984	KIF20A	3900.0502257485	5124.36063286397	277.95580420288	295.529979767682	12.3195117833494	12.6329301509224	10.266436226209	10.2943734614384	2399.47416064576	-3.97697255887577	0.136149489569274	-29.2103376329754	1.43335444387483e-187	8.77308476614324e-184	chr5	+	138179111	138187723	8612	protein_coding
ENSG00000137801	THBS1	194739.870542439	204230.329328268	52087.4547823343	54679.0367295841	17.5807216413826	17.6489295806966	15.7038169544674	15.772230541754	126434.172845656	-1.90184039834027	0.0653544602313107	-29.1003917958933	3.54914086552994e-186	1.62923311432152e-182	chr15	+	39581078	39599466	18388	protein_coding
ENSG00000066279	ASPM	4985.77849372244	6907.6420545551	379.446245869063	399.364837523895	12.6007601966479	12.9924985314223	10.4165070142956	10.443204655188	3168.05790791763	-3.93343965631804	0.136387625293014	-28.840150621198	6.73400132706539e-183	2.47299464735149e-179	chr1	-	197084127	197146694	62567	protein_coding
ENSG00000089685	BIRC5	3073.6659570072	4438.10610005265	206.638196545562	220.649072731952	12.0596502874735	12.4659185861817	10.1417927014376	10.1679310552165	1984.76483158434	-4.13694771874715	0.158427098799734	-26.1126268806867	2.62072523659161e-150	8.02029279904918e-147	chr17	+	78214185	78225636	11451	protein_coding
ENSG00000138160	KIF11	3168.17266859198	4258.6995579034	282.527445719374	284.547446735775	12.0919577268606	12.4187802374906	10.2737949337817	10.2770255800972	1998.48677973763	-3.71162128686724	0.142655587246551	-26.0180576064818	3.09399784314808e-149	8.11599834226928e-146	chr10	+	92593129	92655395	62266	protein_coding
ENSG00000111206	FOXM1	4937.42622267907	6425.30315435057	642.772797219159	576.083778128218	12.5893611548358	12.9038679012992	10.7213716227652	10.6524002765556	3145.39648809425	-3.22033249535846	0.124561156129624	-25.8534248992298	2.22664099122716e-147	5.11069773511413e-144	chr12	-	2857679	2877174	19495	protein_coding
ENSG00000184226	PCDH9	281.322304252357	299.010903582076	2572.91984548323	2722.66977981915	10.2718614704312	10.2997975446551	11.8745003718595	11.9325427812601	1468.98070828421	3.18872590602232	0.123817490997515	25.7534366132997	2.9500240959323e-146	6.0187047166121e-143	chr13	-	66302833	67230445	927612	protein_coding
ENSG00000244731	C4A	150.551389385051	141.172361035472	2494.28761139952	2028.77337462139	10.0262686348489	10.0048316946043	11.8430016097806	11.6397600414013	1203.69618411036	3.95619423432182	0.156822288763386	25.2272445805898	2.01314339389994e-140	3.69653389987907e-137	chr6	+	31982056	32002681	20625	protein_coding
ENSG00000138180	CEP55	2128.59884115944	2805.80067558	148.121185134429	156.750698728129	11.6860131434018	11.9637294322174	10.020783271132	10.0400533538256	1309.8178501505	-4.01783950937006	0.160448455224681	-25.0413100191195	2.17109677211337e-138	3.62415262995871e-135	chr10	+	93496611	93529092	32481	protein_coding
ENSG00000122966	CIT	3880.26975123076	5229.25954002227	455.335495042875	435.307672901045	12.313826426929	12.6568030803413	10.5144002401433	10.4895310734429	2500.04311479924	-3.35449952953155	0.134260376082532	-24.9850300394623	8.8925695354421e-138	1.3607113484149e-134	chr12	-	119685790	119877320	191530	protein_coding
ENSG00000117399	CDC20	2840.69592379822	4127.33083305095	210.295509758758	227.63795738862	11.9766115494062	12.3832307958061	10.1487053760781	10.1806351055421	1851.49005599914	-3.99316403417745	0.160634128946039	-24.8587523733444	2.07959856430572e-136	2.93735298752166e-133	chr1	+	43358980	43363203	4223	protein_coding
ENSG00000064601	CTSA	8533.07692390451	7688.99185834171	29002.4937806426	28532.6208168947	13.2561376315922	13.1253128699733	14.8861662694113	14.8635944499325	18439.2958449459	1.82669594068243	0.0740930522332881	24.6540786972971	3.3275358645679e-134	4.36430096751399e-131	chr20	+	45890143	45898820	8677	protein_coding
ENSG00000126787	DLGAP5	1818.70474038145	2481.30031792208	100.576113362884	115.81580288193	11.5368144481865	11.8377280328752	9.90207079024259	9.94281631862059	1129.09924363709	-4.31519494879132	0.178666136003682	-24.1522822696652	7.0655463520258e-129	8.64917080772652e-126	chr14	-	55148134	55191585	43451	protein_coding
ENSG00000134333	LDHA	45351.1334929318	49289.741637364	14899.8940305596	14983.1702918027	15.5091360915822	15.6261267785771	13.9807829646301	13.9882069048699	31130.9848631645	-1.6631727613804	0.0695422213932348	-23.9160143012371	2.08709114052356e-126	2.39519797014335e-123	chr11	+	18394562	18408425	13863	protein_coding
